AAS201,ASA203,ASA238,COS126,COS226,COS217,COS333,COS342,COS423,COS432,COS484,COS522,COS528,ECO100,ECO102,ECO202,ECO300,ECO301,ECO302,ECO310,ECO312,GER101,GER103,GER105,GER107,LIN201,LIN300,MAT103,MAT104,MAT201,MAT202,MAT203,MAT204,MAT215,MAT216,MAT217,MAT218,MAT300,MAT325,MAT335,MAT370,MAT377,MAT385,MAT400,ORF245,ORF307,ORF309,ORF350,ORF363,ORF445,PHY103,PHY104,PHY105,PHY106,PHY208,REL100,REL232,SML201,URB201,AAS230,AAS244,AAS245,AAS300,AAS303,AAS306,AAS322,AAS332,AAS339,AAS350,AAS352,AAS367,AAS522,AMS101,AMS351,AMS406,ANT201,ANT211,ANT219,ANT263,ANT264,ANT300,ANT302,ANT314,ANT321,ANT337,ANT339,ANT347,ANT390,ANT437,ANT443,ANT461,ARA101,ARA105,ARA301,ARA303,ARA305,ARA403,ARC203,ARC205,ARC308,ARC311,ARC350,ARC403,ARC404,ART100,ART106,ART203,ART213,ART233,ART313,ART316,ART323,ART341,ART389,ART400,ART403,ART411,ART412,ART444,ART455,ART478,ART490,ART491,ASA201,ASL101,ASL105,ASL205,AST205,AST250,AST255,AST301,AST522,ATL494,ATL495,ATL496,ATL497,BCS105,CBE245,CBE250,CBE341,CBE351,CBE411,CBE415,CBE422,CBE430,CBE442,CEE102,CEE207,CEE305,CEE345,CEE366,CEE374,CEE375,CEE471,CHI101,CHI103,CHI105,CHI301,CHI303,CHI305,CHI403,CHI405,CHI411,CHI451,CHM201,CHM207,CHM250,CHM301,CHM305,CHM337,CHM371,CHM373,CHM403,CHM411,CLA203,CLA212,CLA219,CLA227,CLA319,CLA330,CLA340,CLG101,CLG105,CLG213,CLG301,COM300,COM302,COM310,COM351,COM370,COM372,COM421,COM456,COS109,COS240,COS302,COS316,COS324,COS326,COS350
50,73,87,44,9,100,100,31,33,60,75,37,18,27,3,8,22,78,25,62,50,59,4,55,71,75,85,22,61,75,17,9,71,76,25,70,66,22,17,45,5,13,92,52,100,44,85,67,38,65,22,75,93,9,59,91,95,89,74,14,92,32,98,57,69,6,50,58,42,31,100,40,60,90,42,19,49,37,4,21,58,48,60,12,2,19,4,65,22,55,72,92,42,68,1,58,17,42,83,75,2,66,31,77,22,64,68,14,10,35,53,29,44,86,94,95,17,36,91,3,68,73,10,7,66,40,65,55,62,100,25,93,8,19,11,96,97,65,50,90,66,19,2,57,57,23,33,47,96,14,48,83,29,41,23,68,86,74,15,52,67,91,63,6,68,39,100,60,35,56,21,74,23,35,95,67,82,66,41,66,10,54,24,57,77,25,6,74,59,46,70,98,99,20,17,41,4,2,46,98
26,96,83,2,75,82,34,79,27,17,26,52,1,,17,72,28,39,82,76,74,38,9,71,73,69,50,17,99,25,97,27,27,28,34,75,72,35,82,97,100,43,33,76,38,90,51,9,94,97,69,71,84,75,54,27,46,31,46,86,53,49,61,55,18,72,97,11,32,64,27,20,14,62,89,35,25,68,41,91,84,20,95,36,77,12,30,58,1,77,79,33,23,88,42,12,18,18,84,7,11,93,39,42,68,86,89,33,66,48,35,77,94,47,38,58,52,30,30,30,15,57,79,76,22,70,87,54,1,47,91,18,22,42,28,59,57,11,64,67,82,26,13,69,86,88,57,40,88,95,96,93,83,99,36,99,61,42,76,22,25,90,76,80,89,31,45,59,58,51,16,66,79,79,23,31,78,16,69,12,25,90,80,100,86,71,14,24,99,85,46,63,72,25,66,81,32,52,21,4
78,39,45,89,44,93,81,9,20,89,29,93,56,,35,51,61,55,89,46,16,74,83,77,1,7,38,29,69,16,50,77,76,35,90,45,11,97,31,5,73,37,90,48,73,78,31,89,43,88,61,21,11,90,32,33,85,14,19,69,3,78,75,98,83,51,22,35,75,34,13,43,90,68,45,44,65,76,92,14,51,73,57,98,50,32,79,100,100,43,73,65,68,79,78,50,9,17,16,73,45,41,11,39,59,97,99,61,34,56,32,67,28,46,37,2,,66,80,20,43,70,94,27,21,11,40,31,54,77,85,80,20,24,37,30,13,32,56,54,98,3,20,18,29,51,46,19,60,54,69,23,27,45,56,98,53,89,62,39,5,26,90,93,23,66,23,88,,35,25,72,58,36,33,61,62,42,39,41,18,70,66,18,100,21,24,10,44,26,100,62,69,44,72,60,86,,83,83
89,63,59,22,1,69,33,68,61,19,56,47,20,,45,45,4,57,10,60,39,70,28,48,47,44,72,83,62,53,3,69,46,,82,43,51,14,58,7,93,50,85,61,88,59,19,30,45,8,33,70,,68,18,9,37,79,16,21,86,66,82,72,54,45,10,97,76,23,42,19,77,14,32,26,72,19,52,58,60,22,26,1,97,38,28,36,25,23,50,4,39,72,50,41,39,41,80,79,90,76,88,63,44,37,10,5,27,88,57,62,34,7,34,18,,91,5,33,86,6,57,19,12,16,33,91,86,63,62,76,89,83,93,42,82,50,28,98,99,25,30,94,10,70,89,22,59,88,28,,39,8,20,50,60,23,99,34,92,33,6,76,57,54,88,47,,26,57,90,87,85,80,14,75,41,51,76,65,68,84,17,65,98,23,96,6,37,4,54,77,53,1,74,65,,22,51
88,93,61,88,76,32,20,17,98,,3,91,43,,8,78,95,74,51,83,98,66,20,97,63,32,67,9,24,3,42,92,64,,12,86,36,99,79,42,55,59,,25,77,86,33,76,31,19,50,60,,4,,13,71,49,41,57,100,24,87,60,62,92,3,67,74,48,54,12,7,15,60,49,52,25,10,82,52,74,88,6,89,81,85,32,61,75,65,14,49,59,100,85,26,95,77,67,77,27,81,50,35,41,96,70,58,53,8,15,18,38,63,74,,31,41,80,8,95,43,34,78,42,64,81,82,81,42,,96,53,90,18,70,49,20,85,46,99,31,93,49,37,4,68,64,6,34,,43,,9,52,1,69,11,47,27,65,24,79,91,27,36,27,,17,44,81,47,62,96,42,39,28,40,59,94,38,100,79,66,86,7,45,91,67,34,73,98,93,6,44,5,,50,42
22,71,14,21,3,1,40,97,95,,89,81,22,,59,37,84,36,36,93,52,45,1,30,42,40,93,98,,12,62,8,65,,73,29,3,13,29,37,7,16,,64,32,39,90,8,22,86,66,32,,63,,72,41,65,75,16,87,73,71,43,78,90,83,43,87,92,57,16,15,41,50,93,35,91,54,81,39,16,25,33,73,87,72,90,56,12,58,69,82,86,23,83,22,16,25,53,60,30,59,97,51,96,73,91,100,91,76,74,49,79,84,61,,46,4,62,80,100,91,5,52,18,10,38,79,50,47,,67,77,35,34,31,60,84,65,73,22,16,95,33,28,91,93,39,26,42,,15,,55,87,5,32,56,18,58,85,27,40,81,34,22,44,,82,94,63,78,94,8,18,44,79,63,52,86,100,45,9,87,33,86,49,92,35,35,40,97,21,9,2,83,,87,92
96,59,31,78,73,80,53,18,40,,31,15,71,,19,34,71,95,55,10,29,6,96,75,50,63,37,54,,95,53,15,99,,2,74,47,4,98,22,43,11,,42,29,19,,91,6,29,8,61,,14,,35,32,52,69,66,32,60,84,92,40,64,98,34,25,3,18,59,91,11,74,30,13,61,63,8,14,44,97,95,3,25,99,23,62,71,37,73,32,90,86,44,92,98,100,46,39,2,80,93,16,100,33,57,1,37,42,6,95,26,33,76,,40,37,66,91,52,72,43,20,60,67,25,91,53,77,,24,4,20,39,67,38,57,70,3,39,44,46,23,53,,50,33,79,23,,99,,44,56,29,82,90,65,32,27,99,34,12,55,68,70,,94,24,40,19,68,89,3,30,,50,1,68,13,42,68,14,15,49,39,24,4,3,15,70,8,96,30,100,,24,50
92,30,47,,78,74,26,50,,,71,57,23,,,13,73,22,54,17,9,1,16,85,24,76,10,76,,2,48,98,59,,7,96,10,66,78,32,83,9,,31,9,81,,78,32,,15,83,,10,,38,18,94,57,25,21,79,14,14,92,23,79,48,40,96,75,87,47,49,34,54,70,26,79,98,19,92,81,62,17,72,27,41,97,2,30,38,16,,64,27,30,,22,43,47,1,73,,79,51,48,38,37,22,99,18,12,70,42,86,,70,38,42,59,92,15,9,54,13,32,56,14,72,54,,84,97,70,55,2,10,72,41,50,100,51,83,52,2,,2,84,7,98,,56,,1,32,75,33,13,1,31,88,98,89,44,85,98,64,,52,2,100,9,15,16,81,2,,29,14,45,32,13,73,7,53,76,47,5,23,10,65,44,6,61,36,37,,91,37
79,34,43,,53,75,60,84,,,57,90,87,,,31,57,65,97,86,80,36,97,96,37,91,36,47,,51,13,78,,,78,78,18,18,7,,10,78,,68,3,87,,17,56,,4,100,,12,,51,78,80,83,73,,8,72,22,33,38,86,61,36,82,6,54,92,73,20,87,36,90,32,37,9,96,78,18,38,20,92,85,10,99,11,42,70,,61,26,60,,17,92,44,99,32,,21,93,28,8,67,67,16,73,73,74,50,10,,34,36,27,61,12,29,,16,78,70,57,25,24,23,,18,91,4,56,86,86,97,23,68,17,48,99,43,98,,85,75,4,100,,34,,80,93,52,73,50,79,47,71,16,39,93,4,29,62,,86,71,8,14,48,18,25,72,,85,68,90,71,9,48,4,38,91,82,95,44,92,50,21,60,10,53,73,,34,88
15,19,60,,22,53,66,21,,,49,79,6,,,35,68,81,96,39,10,20,90,95,74,25,68,88,,40,33,65,,,56,98,57,84,15,,76,31,,53,2,15,,42,50,,47,42,,49,,67,61,18,53,29,,63,59,3,60,49,51,7,24,97,51,93,20,53,92,18,2,11,57,93,,13,34,20,98,28,24,68,90,29,94,24,61,,71,13,83,,36,89,34,100,71,,81,26,11,83,6,44,27,37,76,31,66,6,,33,48,37,64,98,22,,79,81,8,88,57,94,33,,37,12,25,61,47,87,46,91,86,10,79,42,85,72,,92,79,51,84,,57,,27,10,9,45,68,89,17,15,14,29,61,100,47,40,,87,10,98,71,5,44,19,65,,20,44,43,80,74,14,92,74,81,20,75,2,21,27,42,26,14,66,61,,8,60
